Loading the initial atomic configuration from "equilT138.data"
Number of steps: 100000
Boundary: periodic periodic periodic
System dimensions: 40.8045 40.8045 40.8045 A
The total number of atoms: 1372
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.001000 ps
Handlers:
Berendsen thermostat: T = 138.000000 K, tau = 2.000000 ps

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
63000 64.00101 -45.80296129 25.08502241 -70.8879837 141.4469628 88247211.33
64000 65.00101 -45.81786032 24.17373584 -69.99159616 136.3084895 99953566.22
65000 66.00101 -45.80475352 24.36723665 -70.17199017 137.3995829 100042075.6
66000 67.00101 -45.69636126 24.7674565 -70.46381775 139.6563033 97455099.3
67000 68.00101 -45.72353667 24.49037784 -70.21391452 138.0939393 98902843.01
68000 69.00101 -45.7647906 24.64206355 -70.40685414 138.9492498 94507919.4
69000 70.00101 -45.80754205 24.39630823 -70.20385028 137.5635089 98466747.39
70000 71.00101 -45.74226682 24.43707626 -70.17934308 137.7933876 99445696.75
71000 72.00101 -45.72279924 24.80880738 -70.53160663 139.8894686 91996476.49
72000 73.00101 -45.68921967 23.99952906 -69.68874872 135.3261894 103553813.1
73000 74.00101 -45.70595263 25.24968366 -70.9556363 142.3754385 87897650.09
74000 75.00101 -45.65562283 24.36363973 -70.01926256 137.3793009 99932119.49
75000 76.00101 -45.6534739 24.65310944 -70.30658334 139.0115343 99324646
76000 77.00101 -45.69539661 24.7992903 -70.49468691 139.8358046 97729177.91
77000 78.00101 -45.69695498 24.41035312 -70.1073081 137.6427038 98494880.44
78000 79.00101 -45.69769869 24.76762476 -70.46532345 139.6572521 91687749.69
79000 80.00101 -45.65993446 24.54875687 -70.20869133 138.4231213 99417415.35
80000 81.00101 -45.6896162 24.55802978 -70.24764598 138.4754084 97494628.14
81000 82.00101 -45.63281366 24.15308576 -69.78589941 136.1920498 101007017.2
82000 83.00101 -45.55502897 24.88669802 -70.44172698 140.3286707 95680343.46
83000 84.00101 -45.5600093 24.11299025 -69.67299955 135.9659632 103347122.8
84000 85.00101 -45.56961628 24.58830529 -70.15792156 138.646123 102971560.8
85000 86.00101 -45.70380781 24.56600142 -70.26980923 138.5203582 95477912.8
86000 87.00101 -45.69791381 24.21111762 -69.90903142 136.5192742 102694788.7
87000 88.00101 -45.72391733 25.37394693 -71.09786426 143.076122 88697170.32
88000 89.00101 -45.74702064 24.52921692 -70.27623755 138.3129413 95322561.74
89000 90.00101 -45.7124492 24.65038368 -70.36283288 138.9961645 94379921.96
90000 91.00101 -45.71746924 24.451885 -70.16935424 137.8768897 99796369.45
91000 92.00101 -45.78163513 23.89064721 -69.67228234 134.7122371 105129969
92000 93.00101 -45.75034638 24.69804672 -70.4483931 139.2649222 97932486.95
93000 94.00101 -45.59820379 24.18044344 -69.77864724 136.3463117 102713601
94000 95.00101 -45.59410541 24.57379584 -70.16790124 138.5643085 100725135.5
95000 96.00101 -45.64433666 24.68775256 -70.33208923 139.2068765 97515406.27
96000 97.00101 -45.72383372 24.34503783 -70.06887155 137.2744103 98688470.58
97000 98.00101 -45.6657589 24.5056619 -70.1714208 138.1801216 101456851.4
98000 99.00101 -45.63653219 24.95767152 -70.59420371 140.7288691 91744603.39
99000 100.00101 -45.68930382 24.85094971 -70.54025353 140.1270966 94431727.84
100000 101.00101 -45.62551404 24.52507532 -70.15058935 138.2895881 99501034.3
