Loading the initial atomic configuration from "equilpart2.data"
Number of steps: 200000
Boundary: periodic periodic free
System dimensions: 23.3347 23.3347 115.6 A
The total number of atoms: 1280
Rigid: khist = 3
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.004000 ps
Handlers:
Berendsen thermostat: T = 138.000000 K, tau = 2.000000 ps

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
72000 289.00401 -45.46164322 20.5025073 -65.96415052 137.6853525 74273205.08
73000 293.00401 -45.46575022 20.52352092 -65.98927114 137.8264702 74344776.53
74000 297.00401 -45.37525592 20.60247109 -65.97772701 138.356663 73593884.25
75000 301.00401 -45.49499182 20.43161403 -65.92660585 137.2092661 77608838.45
76000 305.00401 -45.71242159 20.37790875 -66.09033035 136.8486063 73706253.81
77000 309.00401 -45.57175486 20.97816285 -66.54991771 140.8796351 70251488.38
78000 313.00401 -45.69538589 20.54659463 -66.24198052 137.9814226 71463004.08
79000 317.00401 -45.6096351 20.24295084 -65.85258594 135.9422914 76618334.12
80000 321.00401 -45.54496854 20.56547988 -66.11044842 138.1082471 73109513.45
81000 325.00401 -45.51972601 19.93635103 -65.45607704 133.8833089 79467700.59
82000 329.00401 -45.48447579 20.48477549 -65.96925128 137.5662738 77153663.83
83000 333.00401 -45.41314654 20.40398871 -65.81713525 137.0237472 76079598.09
84000 337.00401 -45.37632011 20.33110648 -65.70742658 136.5343038 77177415.39
85000 341.00401 -45.53442812 20.50210041 -66.03652853 137.68262 73563408.86
86000 345.00401 -45.33208644 20.06862816 -65.40071461 134.7716209 83127967.2
87000 349.00401 -45.36339809 20.11350445 -65.47690254 135.0729893 83409250.97
88000 353.00401 -45.37973087 19.94226464 -65.32199551 133.923022 83866306.91
89000 357.00401 -45.44923911 20.70105377 -66.15029287 139.0186987 75398010.86
90000 361.00401 -45.30857832 20.2224424 -65.53102072 135.8045662 81572249.99
91000 365.00401 -45.37980761 19.89384179 -65.27364941 133.5978365 82904464.08
92000 369.00401 -45.44061927 21.05565153 -66.4962708 141.4000132 69644018.27
93000 373.00401 -45.4929674 20.38759406 -65.88056146 136.9136483 75795105.77
94000 377.00401 -45.45199281 20.3442343 -65.7962271 136.6224642 77941851.68
95000 381.00401 -45.51175898 20.09963459 -65.61139356 134.9798457 80853457.96
96000 385.00401 -45.51159471 20.25025812 -65.76185283 135.9913637 76789324.81
97000 389.00401 -45.4213309 20.8309552 -66.2522861 139.8910566 72874536.45
98000 393.00401 -45.3874271 20.67521754 -66.06264464 138.8451945 70950070.55
99000 397.00401 -45.43581332 20.66588024 -66.10169356 138.7824896 77319446.85
100000 401.00401 -45.48435693 20.52895167 -66.0133086 137.8629406 75808888.9
101000 405.00401 -45.51672055 20.78978165 -66.3065022 139.6145541 68546456.07
102000 409.00401 -45.48900649 20.30318176 -65.79218825 136.3467744 80253109.65
103000 413.00401 -45.45143362 20.35306588 -65.8044995 136.681773 78043446.51
104000 417.00401 -45.58863398 20.90358373 -66.49221771 140.3787962 68876379.85
105000 421.00401 -45.40389418 20.25168816 -65.65558234 136.0009672 81165217.7
106000 425.00401 -45.43837021 21.08714001 -66.52551022 141.6114752 68686090.32
107000 429.00401 -45.49699149 20.65827465 -66.15526613 138.7314139 71377268.54
108000 433.00401 -45.4286477 20.82257174 -66.25121944 139.8347571 71465336.01
109000 437.00401 -45.45315649 20.43372088 -65.88687738 137.2234147 73111976.92
110000 441.00401 -45.5918091 20.13123843 -65.72304753 135.1920825 81762336.14
111000 445.00401 -45.49625478 20.54444184 -66.04069662 137.9669654 77215793.26
112000 449.00401 -45.38584143 20.48923362 -65.87507506 137.5962126 76625960.93
113000 453.00401 -45.42748854 20.57737281 -66.00486135 138.1881146 74179972.05
114000 457.00401 -45.38842024 20.65257243 -66.04099267 138.6931205 77866649.32
115000 461.00401 -45.45452469 20.52147124 -65.97599593 137.8127055 77583076.92
116000 465.00401 -45.46432266 20.66109451 -66.12541718 138.7503508 74803851.88
117000 469.00401 -45.54831354 20.71528582 -66.26359936 139.1142745 71407515.99
118000 473.00401 -45.50336061 20.6866227 -66.18998331 138.9217863 71102699.68
119000 477.00401 -45.57712151 20.91172866 -66.48885017 140.4334937 67593654.78
120000 481.00401 -45.52545966 20.219231 -65.74469066 135.7829999 78212052.59
121000 485.00401 -45.44427308 20.52386461 -65.96813768 137.8287782 74350320.35
122000 489.00401 -45.37710747 20.69157731 -66.06868478 138.9550592 75438513.48
123000 493.00401 -45.35526466 20.73357897 -66.08884363 139.2371229 75740410.66
124000 497.00401 -45.33644941 20.85506201 -66.19151142 140.0529467 72805357.9
125000 501.00401 -45.46409316 21.10249241 -66.56658556 141.7145748 69849415.34
126000 505.00401 -45.49382273 21.23025923 -66.72408196 142.5725977 66431761.53
127000 509.00401 -45.496147 20.75372284 -66.24986984 139.3723998 71820223.62
128000 513.00401 -45.45173735 20.22709813 -65.67883548 135.8358319 80933821.07
129000 517.00401 -45.40442042 20.9575269 -66.36194732 140.7410536 68543685.63
130000 521.00401 -45.24665252 20.56605914 -65.81271167 138.1121372 78018520.15
131000 525.00401 -45.38736874 20.83574533 -66.22311407 139.9232249 74020388.74
132000 529.00401 -45.44960157 20.84899238 -66.29859395 140.012186 69081349.12
133000 533.00401 -45.34460618 20.16356492 -65.5081711 135.4091722 82394776.67
134000 537.00401 -45.29646126 20.41299145 -65.70945271 137.0842054 80905612.44
135000 541.00401 -45.39947867 20.63609129 -66.03556996 138.5824407 75210356.21
136000 545.00401 -45.31650245 20.61687451 -65.93337696 138.4533897 73943126.98
137000 549.00401 -45.40649587 20.55699933 -65.9634952 138.0512957 80397912.34
138000 553.00401 -45.46814404 20.39774377 -65.86588782 136.9818091 76919020.95
139000 557.00401 -45.45825826 20.78499811 -66.24325636 139.58243 74587781.86
140000 561.00401 -45.61936067 20.98764837 -66.60700904 140.9433354 66976199.04
141000 565.00401 -45.54065108 20.48031009 -66.02096117 137.5362863 72019957.9
142000 569.00401 -45.46221295 20.70309992 -66.16531287 139.0324397 72151422.27
143000 573.00401 -45.52590215 20.49584472 -66.02174687 137.6406097 75817835.37
144000 577.00401 -45.36113697 20.42093523 -65.78207219 137.1375522 79303398.88
145000 581.00401 -45.41739855 20.59292916 -66.01032771 138.2925838 74440193.91
146000 585.00401 -45.35793873 20.8116264 -66.16956513 139.7612533 72063576.42
147000 589.00401 -45.45041853 20.28957529 -65.73999382 136.2553996 79392451.6
148000 593.00401 -45.31791372 20.40221247 -65.72012619 137.0118188 79186472.55
149000 597.00401 -45.51267069 21.11546396 -66.62813465 141.8016858 67071791.29
150000 601.00401 -45.54487959 20.33164557 -65.87652515 136.5379241 74971089.88
151000 605.00401 -45.47417189 20.68477991 -66.1589518 138.909411 72569345.59
152000 609.00401 -45.50120905 20.49977385 -66.0009829 137.6669959 76475064.4
153000 613.00401 -45.42947164 20.56063939 -65.99011103 138.0757407 73745641.56
154000 617.00401 -45.35077259 20.92228783 -66.27306042 140.5044043 73064909.45
155000 621.00401 -45.33617368 20.0651756 -65.40134928 134.7484351 85514575.99
156000 625.00401 -45.36131818 20.49788135 -65.85919952 137.6542867 76173902.87
157000 629.00401 -45.43932237 20.89502119 -66.33434356 140.3212941 70693216.65
158000 633.00401 -45.3882212 19.81221866 -65.20043986 133.0496934 82828393.72
159000 637.00401 -45.41593844 20.79886449 -66.21480293 139.6755502 72396132.42
160000 641.00401 -45.5037589 20.42752802 -65.93128692 137.1818263 75697547.87
161000 645.00401 -45.44459462 20.70917957 -66.15377418 139.0732678 74111698.35
162000 649.00401 -45.48710736 20.48393747 -65.97104483 137.5606461 72588462.15
163000 653.00401 -45.50738662 20.10720058 -65.61458719 135.0306554 78893213.36
164000 657.00401 -45.47913767 20.29566836 -65.77480602 136.2963178 76454857.75
165000 661.00401 -45.51761598 20.61626637 -66.13388235 138.4493057 74514782.17
166000 665.00401 -45.4529441 21.03467463 -66.48761873 141.259142 69217426.16
167000 669.00401 -45.3623515 20.87374632 -66.23609782 140.1784219 73160595.85
168000 673.00401 -45.51299465 20.55853391 -66.07152856 138.0616013 73187334.52
169000 677.00401 -45.45820448 20.5698631 -66.02806758 138.1376829 74795669.72
170000 681.00401 -45.55310128 20.84048619 -66.39358747 139.9550623 68507388.57
171000 685.00401 -45.49450676 20.95735709 -66.45186385 140.7399132 66271609.74
172000 689.00401 -45.39588605 20.94800305 -66.3438891 140.6770958 69991247.12
