Loading the initial atomic configuration from "Ar.data"
Number of steps: 5000
Boundary: periodic periodic periodic
System dimensions: 27.025 27.025 27.025 A
The total number of atoms: 500
Atomic masses: m[type1] = 39.948 Da
Neigbor List algorithm: O(N^2) complexity, Rskin = 2.000000 A, update every 50 steps
Verlet integration algorithm: time step = 0.004000 ps
Handlers:
Assigning the initial velocity corresponding to T = 300.000000 K

Potentials:
type1-type1 : Lennard-Jones potential for Ar-Ar interaction, Rcut = 8.512500 A

Step   Time   Energy   Kinetic   Potential   Temperature   Pressure
3800 15.204 -1.607412239 19.04020654 -20.64761878 294.6014603 801523025
3850 15.404 -1.605749181 18.2920346 -19.89778379 283.0252968 825921695.8
3900 15.604 -1.601728072 18.48880732 -20.0905354 286.069882 824786303
3950 15.804 -1.600496727 19.03445114 -20.63494787 294.5124093 803412317.9
4000 16.004 -1.605484757 18.90026594 -20.5057507 292.4362157 806185474.4
4050 16.204 -1.605443431 18.53160603 -20.13704946 286.7320892 819232934.3
4100 16.404 -1.602902432 18.82707651 -20.42997894 291.3037851 812373978.6
4150 16.604 -1.606099543 19.45068884 -21.05678838 300.9526879 789630719.4
4200 16.804 -1.604605455 19.5150879 -21.11969335 301.9491086 787353390.5
4250 17.004 -1.602401722 19.19902571 -20.80142744 297.0588056 797044887.6
4300 17.204 -1.606911197 18.70805457 -20.31496577 289.4622065 810319008.1
4350 17.404 -1.60364448 18.99587401 -20.59951849 293.915521 804473470.3
4400 17.604 -1.605817355 18.76423719 -20.37005454 290.3314975 811488153.4
4450 17.804 -1.607717561 18.52995036 -20.13766792 286.7064717 816199863.5
4500 18.004 -1.597540119 18.77303163 -20.37057175 290.4675704 811619967.9
4550 18.204 -1.60441789 19.37074331 -20.9751612 299.7157229 792290329.4
4600 18.404 -1.609355457 19.49030421 -21.09965967 301.5656407 786025013
4650 18.604 -1.604974682 18.94386213 -20.54883682 293.1107621 803244282.7
4700 18.804 -1.600991708 19.33998568 -20.94097739 299.2398224 790087289.3
4750 19.004 -1.600079283 18.41191243 -20.01199171 284.8801182 820939052.6
4800 19.204 -1.605796419 18.82273998 -20.4285364 291.2366877 808500857.5
4850 19.404 -1.610491068 18.22674224 -19.83723331 282.0150543 828125055.8
4900 19.604 -1.608382655 19.41371326 -21.02209592 300.3805797 786446606.2
4950 19.804 -1.607320654 18.06281406 -19.67013471 279.4786595 840125702.5
5000 20.004 -1.607376109 18.56898463 -20.17636074 287.3104333 817702063.4
